key,value
Tug,2
Bea Hawke (OC),2
Luna,2
Seneschal Granger,2
Professor Kenric,2
Professor Bram Kenric,2
Stacker Pentecost,2
Anso (Dragon Age),2
Antivan(s),2
Northern Hunter,2
Julien,2
Katria trevelyan,2
Iwaizumi Hajime,2
Cadogan Cousland,2
Dorain Pavus,2
Avaena Amell,2
Curiosity - Character,2
Corbinian Vael,2
Maferath (Dragon Age),2
Rogue Inquisitor,2
Thelvin Lavellan,2
Dragon Age Characters,2
Vernon Boyd,2
Female Inquisitior,2
Original Non-Warden Surana,2
Iorveth (The Witcher),2
Guards - Character,2
Apostates - Character,2
Dragonborn,2
Female Reader - Character,2
Aric Jorgan,2
Eleven (Stranger Things),2
Alex Knight (OMC),2
Andy (OC),2
male inquisitor adaar,2
Marigold Kadret,2
Blackwall/Thom Rainier - Character,2
Ariadne (Inception),2
Arthur (Inception),2
Enjolras (Les Misérables),2
Rhys Trevelyan,2
Original Inquisitor Character,2
many OCs,2
Dragonborn (Mentioned Only),2
Elsie Trevelyan,2
Kid Inquisitor - Character,2
Teenage Inquisitor - Character,2
Jonas Downer (OC),2
Custom Female Hawke,2
Female Altmer,2
Toothless (How to Train Your Dragon),2
Mara (Elder Scrolls),2
Peter Hale,2
Female Trevelyn,2
A cat,2
OC Characters - Character,2
Iona's daughter,2
Saros Lavellan,2
Templar!Carver - Character,2
Shiro (Voltron),2
Keith (Voltron),2
Zazikel,2
Howland Reed,2
Meeran (Dragon Age),2
Nero,2
Ferox,2
Folke (OC),2
Dalish Mage,2
Human Noble,2
Multiple Hawkes - Character,2
Non-Warden Surana,2
Arlan Valdene,2
The Bulls Chargers,2
Original Mabari Character,2
Asexual Solas - Character,2
Ace Solas - Character,2
Minor Blackwall,2
Female Amell- Non warden,2
Original Kossith Character(s),2
Female Elf Mage Warden,2
Catelyn Lavellan,2
Sister Petrine,2
Milliara Lavellan,2
Nyssa Trevelyan,2
F! Trevelyan,2
finan lavellan,2
Lord Guy,2
Tegan,2
Dragon Age OC,2
Amaryllis Lavellan,2
Maker's Bark,2
Kid!inquisitor - Character,2
Alessa Lavellan,2
Corin Hawke,2
Joanna Amell (OC),2
Ireth Falassion,2
Kiera Lavellan (OC),2
Llewellyn Mearna,2
Sophia Dale,2
Roy Harper,2
Clone Roy Harper,2
"Virgil ""Static"" Hawkins",2
Jaime Reyes,2
Bart Allen,2
Lawrence Crock,2
Jade Nguyen,2
Elrohir (Tolkien),2
Evelyn Cousland,2
Lorkhan,2
Idgrod Ravencrone,2
Falion,2
Peryite,2
Other Character Appearances,2
Non-Inquisitor Female Adaar,2
Wally West,2
Tim Drake,2
Bruce Wayne,2
J'onn J'onzz,2
Clark Kent,2
Elida Trevelyan (Original Female Character),2
Bjorn Trevelyan (Original Male Character),2
Diana Trevelyan (OC),2
Kim Minseok | Xiumin,2
Lu Han,2
Kim Jongdae | Chen,2
Kim Joonmyun | Suho,2
Wu Yi Fan | Kris,2
Shim Changmin,2
Jackson Wang,2
Hanal'ghilan,2
Sentinel Elf | Elves (Dragon Age),2
Vayne Carudas Solidor,2
Kathlyn Hawke,2
Tidus,2
Bethany (Dragon Age),2
Denarius (Dragon Age),2
Scarlett Trevelyan,2
Belladonna,2
Barristan Selmy,2
Robert Baratheon,2
Culen Rutherford,2
original child character,2
mentions of other canon characters,2
isabela's crew,2
Druffy,2
Helen Cho,2
Betty Ross,2
Stephen Strange,2
Imhotep (The Mummy),2
Val Brosca,2
The War Table,2
rest of the DA2 crew,2
Inquistor,2
rio lavellan,2
OC Trevelyans,2
Teddy Altman (Young Avengers),2
Faith,2
Sutherland's Company,2
Harkon,2
Forsworn - Character,2
Muiri,2
Valerica,2
Durnehviir,2
J'zargo,2
Falmer,2
Larius (Dragon Age),2
Ahya Lavellan,2
Esme Adaar,2
Mentioned Merrill,2
Female Redguard Dovahkiin | Dragonborn,2
Sven (Elder Scrolls),2
Female Khajiit Dovahkiin | Dragonborn,2
Various Skyrim Characters,2
Eral'las Lavellan,2
Ysolda,2
Cid nan Garlond,2
Mother Miounne,2
Aymeric de Borel,2
Mabel Pines,2
Ponchard,2
Robert Small,2
Avvar OC,2
Ironbull,2
Carver Hawke/Belinda Darrow,2
Warden Martin,2
Loghain Mac Tir (Mentioned),2
Bartrand,2
Quentin,2
Allure - Character,2
Aria Trevelyan - Character,2
Agents of Fen'Harel - Character,2
Nadine Trevelyan,2
Fortitude - Character,2
Rith,2
Aurelia Trevelyan,2
Ser Original Character,2
Joaquina Hawke,2
The Architect (Dragon Age),2
Mukarukan Surana,2
assorted others - Character,2
Commander Rylen,2
mentions of Cole,2
Danarius (mention),2
Nonbinary Inquisitor - Character,2
Hanamura Yosuke,2
Grimm - Character,2
Female Rogue OC,2
Samael Hawke,2
Kieran Hawke,2
Female Nerevarine - Character,2
Caesar (Fallout),2
Trans Cousland,2
Belle (Dragon Age),2
Flemeth/Mythal,2
Flissa,2
Male Adaar Inquisitor,2
Master Dennett,2
Fox Mulder,2
Faelan Lavellan,2
Caerlyn Cousland,2
Keeper Lanaya,2
Ser Wesley,2
captain Isabela (Dragon Age),2
oc female - Character,2
Aith,2
Tataru Taru,2
Estinien Wyrmblood,2
Haurchefant Greystone,2
Steven the Cook,2
mention of,2
Claire Cousland,2
Origin neutral warden,2
Amalia (Dragon Age),2
Kitty (Dragon Age),2
Artanis Trevelyan,2
Amun Adaar,2
Camniel Lavellan,2
Original Male Hawke Character,2
The Nightmare,2
Cyrano Rideri (OC),2
Alastair,2
Merrill (Mentioned),2
Divine Justinia V,2
Female Mage Inquisitor (Dragon Age),2
Fen’Harel,2
Fran (Ivalice Alliance),2
Fayt Leingod,2
Paine (Final Fantasy X-2),2
Sazh Katzroy,2
Squall Leonhart,2
Rikku (Final Fantasy X & X-2),2
Bethany (OC),2
Original Falmer Character(s),2
Rhona Lavellan,2
Trans Lavellan - Character,2
Mother Hannah,2
Queen Elissa Cousland,2
Trevelyan OCs,2
Narcissa Black Malfoy,2
Cricket the mabari,2
Kirkwall Krew,2
Skye Lavellan - Character,2
Lily Rutherford (OC),2
Various Qunari,2
Widris,2
Elizabeth Cousland,2
Hayden Hawke,2
Morinth (Mass Effect),2
Captain Garavel,2
Sadie Hawke,2
Garahel,2
Bogdan Vasca,2
Generic Female Inquisitor,2
The Pantheon - Character,2
pride - Character,2
Mythal (mentioned),2
Ultron,2
"Grunkle Stan | Stanley ""Stanford"" Pines",2
Haldir of Lothlórien,2
Mako (Avatar),2
Robin (DCU),2
Cyborg (Character),2
Batman,2
Groot (Marvel),2
Merlin (Merlin),2
Scott McCall (Teen Wolf),2
Isaac Lahey,2
Allison Argent,2
Lulu (Final Fantasy X & X-2),2
Hope Estheim,2
Oerba Dia Vanille,2
Roxas (Kingdom Hearts),2
Toriel (Undertale),2
Undyne (Undertale),2
Flowey (Undertale),2
Frisk (Undertale),2
Alphys (Undertale),2
Remy LeBeau,2
Dummy (Iron Man movies),2
Johnny Storm,2
High Dragon(s),2
Lucina (Fire Emblem),2
Original Non-Warden Brosca,2
Arcturus Lavellan,2
Michal,2
Wendy,2
Lucius Malfoy,2
Cassian Andor,2
Yachi Hitoka,2
Cerwynn Mahariel,2
Original Dog Character(s),2
Alinuris,2
Deygan,2
Armaas,2
Samuel,2
Colbert (Dragon Age),2
Jerrik Dace,2
Brogan Dace,2
Bulfa,2
Original Non-Inquisitor Character(s),2
Scout Harding (Dragon Age),2
Custom Male Hawke - Character,2
Male Templar Trevelyan,2
Eden Trevelyan,2
et al,2
Tanner,2
Requisition Officer,2
Ai Trevelyan (OC),2
Zhen Trevelyan (OC),2
The Horned Knight,2
Aderes Mahariel,2
Dragon Age Inquisition Characters,2
Morris,2
Lu Zaarif,2
Josmael,2
Vashoth - Character,2
Random Scouts,2
The Elder One,2
Liam Cousland - Character,2
Female Warden (Mentioned),2
Victoria Trevelyan,2
Enchanter Sini (OC),2
Ser Clancy (OC),2
Cassie Penterghast (OC),2
Dayal Lavellan,2
Delphine (Elder Scrolls),2
Esbern (Skyrim),2
Eliysium Surana,2
Donovan,2
Evil!Inquisitor,2
Moiraine Damodred,2
Vala Mal Doran,2
Jennifer Keller,2
Female Trevelyan|Herald of Andraste (Mentioned),2
Kiara Hawke,2
Forgotten One(s),2
Rage - Character,2
Trevelyan Siblings - Character,2
Jaime Lannister,2
Genderqueer Hawke,2
Gwen Cooper,2
DA:I Ensemble,2
Mikah Brosca,2
Coterie,2
Evie Rutherford,2
Dad!Cullen - Character,2
Terra (Kingdom Hearts),2
Elin,2
The Fae sisters,2
Male Blood Mage Hawke,2
Lale (OC),2
Özge (OC),2
Samahl Lavellan (OC),2
Xebenkeck,2
Tarohne (Dragon Age),2
Magister(s),2
Morrigan Hawke,2
Anastasia,2
Ned Stark,2
Catelyn Stark,2
Miranda Hawke,2
Atisha Lavellan,2
Bossuet Laigle,2
Bahorel (Les Misérables),2
Feuilly (Les Misérables),2
Jean Valjean,2
Charlie Weasley,2
Molly Weasley,2
Arthur Weasley,2
Ginny Weasley,2
Pretty much if they were in origins they're in this,2
Eren Yeager,2
Armin Arlert,2
Mikasa Ackerman,2
Gervasio,2
solana amell,2
Sarya Lavellan,2
Adhlea Lavellan,2
Transgender Lavellan - Character,2
Sphaera Lavellan,2
El'una Lavellan,2
Hope - Character,2
Qunari Hawke,2
the rest of the gang,2
minor Nathaniel Howe,2
Female Inquisitor Adaar,2
others mentioned in passing,2
Tybalt Hawke,2
Valynne Lavellan,2
Amara Lavellan,2
Marie Trevelyan-Harrington,2
more to be tagged - Character,2
Leo'Din,2
Varven Lavellan,2
Herbert Trevelyan,2
Elain Trevelyan,2
Egeire Mahariel,2
Ashelia B'nargin Dalmasca,2
Balthier,2
Larsa Ferrinas Solidor,2
Ogre - Character,2
Rutherford Family,2
random people,2
Miscellaneous Elves,2
Iliana,2
Griffin Lavellan,2
Original Human Character,2
Nathanial Howe,2
everybody - Character,2
The Appraiser,2
The Augur,2
Non-Inquisitor OC - Character,2
The Trevelyans,2
Maryden,2
Victoria Hawke,2
Sarel,2
Lara Croft,2
Hinata Natsu,2
Revered Mother,2
Alerion Clan,2
Gwyn Trevelyan,2
Trevelyan Twins,2
Mira Amell - Character,2
(briefly),2
Malcolm Hawke (mentioned),2
Orsimer,2
Dyson (Lost Girl),2
Trick (Lost Girl),2
Ava Hawke,2
Dain,2
Leandra Tethras,2
Anthony Tethras,2
Thom Rainer - Character,2
Harry Blackstone Copperfield Dresden,2
The Regular Cast of Dragon Age Inquisition,2
Templar Hawke - Character,2
Franklin Delano Donut,2
Kaikaina Grif | Sister,2
Original Non-Warden Mahariel(s),2
Non-Lavellan Elvhen Inquisitor,2
Tyrvar Lavellan,2
Mila Hawke,2
The whole party,2
Abigail Hobbs,2
Kell,2
Rainier,2
Rasaan,2
Alanna Lavellan,2
Quentin Holt,2
lydia hawke,2
Calandriel Aurealin,2
Alec Trevelyan,2
Chancellor Amell - Character,2
Bosmer,2
Cassandra (mention),2
Assorted Dragon Age Characters,2
Spiders - Character,2
Tamassran(s),2
Eirian Lavellan,2
Adam Rutherford,2
Lea Surana,2
Various Grey Wardens,2
Kid OC,2
Talitha Cousland,2
Llewelyn Lavellan,2
Sereda Aeducan,2
Tsukino Usagi | Sailor Moon,2
Steven Universe,2
Bethany (mentioned),2
Carver (mentioned),2
Marissa Hawke,2
Female Trevelyan's Family,2
Kaim Lavellan,2
Malyse Rutherford,2
Paige Rutherford,2
Sierra Pavus,2
Xander Harris,2
Kaethalis Lostsight,2
OC: Osanna,2
Donald Trump,2
Shireen Baratheon,2
Ohgren,2
Visena Lavellan,2
Lyna Tabris,2
Yvette Trevelyan,2
Lyna,2
Yvette,2
Cullen's Family,2
Felix,2
Male Rogue Cousland,2
Iron Bull's Chargers,2
Female My Unit | Avatar (Fire Emblem: Fates),2
Tactician (Fire Emblem),2
Aqua | Azura,2
Various Inquisition Characters,2
Ice King | Simon Petrikov,2
Kepi Lavellan,2
Too Many To List,2
Female Kader,2
Warden Commander Clarel,2
Circinae Hawke,2
Pesky Nobles,2
demon inquisitor,2
ser pounce a lot,2
Ajani Tabris,2
Avvar Clan,2
Own characters,2
Inquisition Scout,2
Genevieve Trevelyan - Character,2
Havae Lavellan,2
Nug(s),2
Lilla Taura,2
Elias Amell,2
Pike,2
Lady Dowager Trevelyan,2
Kirkwall - Character,2
Pryce (Dragon Age),2
Nessa,2
sarcastic!Hawke,2
Mirre Lavellan,2
Elanwen Mahariel,2
ED-E,2
Rose of Sharon Cassidy,2
Nimia Surana,2
Ennoshita Chikara,2
Drunk Alistair (Dragon Age) - Character,2
Solas/Fen'Harel,2
Karaas Adaar,2
Soren Adaar,2
Kamali Adaar,2
Marjani Adaar,2
Neela Adaar,2
Thalia Lavellan,2
Female Trevelyan of Color,2
various cameos,2
Laela Trevelyan,2
Michimiya Yui,2
Tanaka Saeko,2
Others to be added - Character,2
Kos,2
Devon,2
Evelyn's Parents,2
Fae Lavellan,2
Faora Lavellan,2
Heir (Dragon Age),2
Templar Drass,2
osiris lavellan,2
Matilda Trevelyan,2
Niklaus Trevelyan,2
Mage Amell,2
Astlyr Adaar,2
Seanan Hawke,2
Nara Cadash,2
mentions of Cassandra,2
markus theirin,2
haddie poll,2
Gabrielle the nightingale - Character,2
Bhelen,2
Alistar,2
Julvian Hawke,2
Da'len,2
arctos lathvhen,2
Solavellan - Character,2
Human Duelist - Character,2
Elf Reaver,2
Orlesian/Free Marcher - Character,2
Bannon Tabris (OC),2
Lavellan OC,2
various Templars,2
Faron,2
Original Qunari Character,2
Dianisamahl Lavellan,2
Cara Trevelyan,2
Adal Helmi,2
Audra Cousland,2
Theron,2
Alyssana Lavellan,2
Isalasanda Lavellan,2
Revassan Lavellan,2
Chantry Sisters,2
Desire - Character,2
Noodle Babies,2
Hux (Star Wars),2
The Stone,2
Regalyan D'Marcall (mentioned),2
ser barkington (mabari),2
Skoll Lavellan,2
Philip Anderson,2
Flemeth / Mythal,2
"Camelia ""Mel"" Cousland",2
Radonis,2
Vex'ahlia,2
Vax'ildan,2
Keyleth,2
Miscellaneous guards,2
A guard named Carl,2
Old Gods - Character,2
Nevalle,2
Vaelen Lavellan,2
Mera Hawke,2
The Empress,2
Original Spirit/Demon Character(s),2
Katriel,2
Antje Wirth,2
Alice Cireron,2
dom!Solas - Character,2
Voraan Lavellan,2
Archivist Banon,2
Elalas,2
Minor Original Character - Character,2
Macie Hawke,2
O/C,2
Grey Hawke,2
Salit,2
DA:I Companions,2
He'lon Lavellan,2
Other Cameos,2
Original Elvhen Characters,2
The Sentinels,2
Solas - mentions,2
Uvir,2
Teddy Altman,2
Kate Bishop,2
Tommy Shepherd,2
Clara Oswin Oswald,2
Lady Alexius,2
Garett Hawke,2
Tal,2
Vanryra Brosca,2
Orginal Characters - Character,2
Lara Amell,2
Young!Solas,2
Warden OCs,2
Rancor Adaar,2
Fem!Sten,2
Fem!Oghren,2
Miroslav Trevelyan,2
Niamh Lavellan,2
Dragon Age Inquisition cast,2
Solas mentioned,2
Ekhan Lavellan,2
Ash Lavellan,2
SHIELD Agents & Staff,2
Havelock Vetinari,2
Pride (Looking Glass),2
Curiosity (Looking Glass),2
Tanis Half-Elven,2
Caramon Majere,2
Sturm Brightblade,2
Flint Fireforge,2
Tika Waylan Majere,2
Surana Family,2
Deyrahel Lavellan,2
many more - Character,2
Original Mage Characters,2
the mabari,2
Takaleth Trevelyan,2
Andra Hawke (OC),2
OCs - Minor Characters,2
Amell warden,2
Original Jaeger(s) (Pacific Rim),2
Faren,2
Darya,2
Warden Queen - Character,2
Ephena Cousland,2
Revan (Star Wars),2
The Dark Wolf,2
Aldaron Lavellan,2
Ilen,2
Caitrin Cadash,2
Inquisitor Wren Trevelyan,2
Finn the Human,2
Carlos (Welcome to Night Vale),2
Cecil Palmer,2
Da'mi Lavellan,2
Gilraen Lavellan,2
Anna Hawke,2
Wren,2
Tyrdda Bright-Axe,2
Clara,2
Sage,2
Michael,2
Pixie,2
Various Companions,2
Rorie Lavellan,2
Isala Shadow,2
Backstory - Character,2
OC/OC - Character,2
Companions - Character,2
Nugs - Character,2
Nicole Trevelyan,2
Galia Lavellan,2
Nyeni Lavellan,2
Rowan Cousland,2
Benedict Cumberbatch,2
Donna,2
Talon Lavellan,2
Blood Mages - Character,2
Balthazar Trevelyan,2
Xander Vael (OC),2
Anya Grace Hawke,2
Taras Tabris,2
Zack Fair,2
Avexia Suledin,2
Halward Pavus (mentioned),2
Viona Hawke,2
Noxx'ian Lavellan,2
Master Dennet (Dragon Age: Inquisition),2
Merrill (briefly),2
Katherine Trevelyan,2
Siany,2
Ambriel Lavellan,2
Lysandre Lavellan,2
Lucia Rose Cousland,2
Sirad,2
Renn,2
Daine Surana,2
Faena Lavellan,2
Aino Minako | Sailor Venus,2
Ophelia Hawke,2
Fergus Lavellan,2
Mother Giselle (mentioned),2
Rhea Trevelyan,2
Imalia Trevelyan - Character,2
Everyone else in the game,2
Templar!Hawke - Character,2
Spider's Bite (OC),2
Darth Vader,2
Nymphadora Tonks,2
Velalora Lavellan,2
Valta,2
Shae Lavellan,2
Commander Helaine,2
(sort of) - Character,2
Anderson,2
Mentioned Halward Pavus,2
Mir'lin Lavellan (OC),2
Xen'eth Lavellan (OC),2
Islen Hawke-Tethras,2
Iron Bull mentioned,2
Gaerwyn Trevelyan,2
Melinda May,2
Taya Trevelyan,2
Everybody else in the game,2
Derry Aeducan,2
a farmer dude named Gantry,2
Ghest Lavellan,2
Sylanna Lavellan,2
Knight Captain,2
Kitty's Collar,2
Dijon the Mabari,2
Sulenera Lavellan,2
Ser Alrik,2
Buttercup Cadash,2
ferret!fenris - Character,2
Ser Fluffy Paws,2
Falherna Lavellan,2
Elvauni Hawke,2
Elvauni (rogue) Hawke,2
Mally Trevelyan,2
Mentions of Blackwall,2
And their daughter,2
Danarius (past),2
Nairod the Fennec - Character,2
Gwaine (Merlin),2
Harry Dresden,2
Carlos Ramirez,2
Adahlen'anasal,2
Seeker Daniel,2
Varian the Lonely Dragon - Character,2
Neri Surana,2
Anacrea Trevelyan,2
Thazulok,2
Myrdo,2
Hanna Hawke,2
Ho Yinsen,2
Nonbinary Trevelyan,2
Sera - Mentioned,2
Ghanima Lavellan,2
Brannyn Lavellan,2
Tirzah Aeducan - Character,2
Raina Amell,2
Roland Gilmore (Dragon Age),2
Faelyn Lavellan,2
mentions of Dorian,2
Mention of Felix,2
Envy Demon - Character,2
Senna Lavellan,2
Anakin Skywalker,2
Blythe Trevelyan,2
Knight-Captain Hadley,2
Reinhold the Golden,2
Kai Tabris,2
Selene Surana,2
Mention of Bull,2
Denarius,2
Damien Trevelyan,2
Raleigh Trevelyan,2
Maren (Dragon Age),2
Liatriel (Lia) Lavellan,2
Cymael Lavellan,2
Samael Mahariel,2
Loreian Cousland,2
Sora,2
camris lavellan,2
Brynja Cousland,2
Fendes Lavellan,2
Lusia Trevelyan,2
F!Adaar,2
Other Character mentions,2
Eryth Lavellan,2
Vitis Lavellan,2
Lilly,2
Raven Lavellan,2
minor leliana,2
Meladriel Trevelyan,2
John Winchester,2
Meg Masters,2
Belinda (Dragon Age),2
Riza Hawkeye,2
Roy Mustang,2
Meraas (Dragon Age),2
Luthien Lavellan,2
Laheir Lavellan - Character,2
Deceit (Dragon Age),2
Fear (Dragon Age),2
Yaanos Adaar,2
Maye Hawke,2
Igraine Cousland,2
Aeron Hawke,2
ambiguous female Inquisitor - Character,2
and their two children,2
Fem!Cousland,2
Ivoreth Lavellan,2
Rai Trevelyan,2
The Black Divine,2
Alais Lavellan (OC),2
Gatsi,2
Dahlia Surana,2
clair trevelyan,2
Armet Lavellan,2
Dulin Forender,2
Dorian mention,2
Isalana,2
autumn lavellan,2
Lyslani Lavellan,2
Nesiriel Lavellan,2
Peter Trevelyan,2
Tenth Doctor,2
Amy Pond,2
Basso the Boxman,2
Belle (Once Upon a Time),2
Henry Mills (Once Upon a Time),2
Beau Trevelyan,2
Javaris Tintop,2
Richard Woolsey,2
Gordon Freeman,2
Malcolm Reed,2
Jonathan Archer,2
Katniss Everdeen,2
Helen Magnus,2
Elsa,2
Ryan Haywood,2
Ray Narvaez Jr.,2
Wren Hawke,2
Abrinay Lavellan,2
Female Archer Lavellan,2
Ser Chompy,2
Mara Mahariel,2
Relenus,2
Kyra Hawke,2
Envy!Cullen,2
Kaladin (Stormlight Archive),2
Renarin Kholin,2
Tien (Stormlight Archive),2
Adolin Kholin,2
Vasher | Zahel,2
Havard,2
Wil Hawke,2
Jericho Hawke,2
Brother Plinth,2
red!hawke,2
Warrior,2
Syrith Lavellan - Character,2
Nika Trevelyan,2
Sidony,2
Nininaelle Lavellan - Character,2
Female Inqui,2
Male Magister,2
The Inquisitor's mum,2
Thornton,2
Blaine Anderson,2
The Inquisitor (Dragon Age),2
Rio - Character,2
Ro Cousland,2
Leitos Lavellan,2
others-mentioned,2
Adam Parrish,2
Inquisitor's Family (OC),2
Evelyn Travelyan,2
Kíli (Tolkien),2
own chara,2
Darcy Lavellan,2
minor Anders,2
Balthazar Lavellan,2
Hero of Fereldan - Character,2
Meriana Cousland,2
Sabrina Russel,2
Valora Hawke,2
Rammath Lavellan (OC),2
Aura,2
Damla Adaar,2
Gwin Cousland - Character,2
all of the inner circle,2
Sophie Cousland,2
"Aeron ""Tab"" Tabris",2
Nevaeh Mahariel - Character,2
Lightning Farron,2
Spirit of Hope,2
Inquisitor Cyrus,2
Lacrima (OC),2
that interrupting soldier,2
Valora Lavellan,2
Galadriel,2
Alexius,2
Father,2
Transgender Woman Trevelyan,2
Transgender Man Trevelyan,2
Jasmine Trevelyan,2
Quynn Lavellan,2
Harold Trevelyan,2
Ziva Lilietta Trevelyan,2
Owen Trevelyan,2
Mahdred Hawke,2
Michael Jones,2
Geoff Ramsey,2
Sylvanni Lavellan,2
Nyxx-OC,2
OC- Cullen's parents,2
Sam Vimes,2
val'wen lavellan,2
OC- Cullen's family,2
Velelan Lavellan,2
Engel Trevelyan,2
Rosalyn Cadash,2
Zin Cousland,2
A Jar of Bees,2
Anna (Frozen),2
Broodmother,2
Connor Guirren,2
Smaug,2
Kanna Lavellan,2
Ezekiel Hawke,2
Amy,2
Tinker Bell (Once Upon a Time),2
Bard of Laketown,2
Renwyn Lavellan,2
Luthian Levellan,2
Aveline de Grandpré,2
Random,2
Lessa Hawke,2
Archon Radonis,2
Saige Trevelyan,2
Fifi de Launcet,2
Tasiran Adaar,2
High Dragon,2
Morowa Hawke,2
Enera,2
Korinda Lavellan,2
Luin Lavellan,2
Narya Lavellan,2
Saga Lavellan - Character,2
Niah Trevelyan,2
Nayeli Surana,2
Faydren Trevelyan,2
All Inquisition Characters,2
various wardens,2
Nedra Surana,2
Garyon Hawke,2
Tybalt (Romeo and Juliet),2
kamea adaar,2
Fem!Inquisitor - Character,2
Lylah Trevelyan,2
Josephine (dragon age),2
Genevieve,2
Kell ap Morgan,2
Prishe Lavellan,2
Mage!Trevelyan,2
Viola Surana,2
Callum Trevelyan,2
Rinata Cadash,2
The Huntress,2
Edric Cadash,2
Katriela,2
Kahrin Cousland,2
Raela Lavellan,2
Varlaina Lavellan,2
Disabled Hawke,2
Seònaid Earrach,2
Madame De Fer (Dragon Age),2
Male Marahiel,2
Tempest,2
Kirriana,2
Arl Rendon Howe,2
Quill Lavallen,2
Allegra Hawke,2
Sloth demon,2
Maetel,2
Tabitha Hawke,2
Agata,2
Uriel Lavellan,2
Torania Theirin,2
Steelbloom Hawke,2
Audacity (Dragon Age),2
Nell Cousland,2
Pick,2
Jeanette Cousland,2
Prince Vael,2
Violet Goddard,2
OC Templars,2
Fenris (Dragon Age II),2
Kai Leng,2
Shayle of House Cadash,2
Revka Tabris,2
Kallia,2
Rowan,2
Kaitlyn,2
Lady Cadash,2
Asher Hawke,2
Anthea (Sherlock),2
Alrik,2
Jim Moriarty,2
Olivia Dunham,2
Mharen,2
Viveka,2
Myra Surana,2
Oliver Hawke,2
Assorted NPCs,2
Hafter,2
Gabe Hawke,2
Commander Amelle Shepard,2
Captain Kiara Shepard,2
Woolsey,2
Misc. Others,2
Cecily Cousland,2
Andri Mahariel,2
Norah,2
Vincento,2
alt!Ria,2
Templar OC,2
Vaughan,2
Laica,2
Mo,2
Dan,2
Vrania,2
Erynon,2
Tabby Hawke,2
Mari Hawke,2
Nicolas,2
Starrelena,2
Marinelle Brosca,2
Josephine Hawke,2
Susan Sto Helit,2
Katherine Cousland,2
Katy Cousland,2
Kylon,2
Helena,2
Petrice - Character,2
Amell/Surana,2
Main Character,2
Maverlies,2
Namaya,2
Kaja Hawke,2
Richard Cypher,2
Dandelion - Character,2
Lambert,2
Japan (Hetalia: Axis Powers),2
Leta Vael,2
Assorted Crows,2
Vashkata,2
Ser Greagoir,2
Gerod Caron,2
Carroll,2
Aedan Hawke,2
Sha Gojyo,2
Davy the templar,2
Gregoir (Dragon Age),2
Davin Hawke,2
Ser Donall,2
Teryn Loghain Mac Tir,2
f!Hakwe,2
King Maric Theirin,2
Adder Hawke,2
PC: f!Surana,2
Breynna Cousland,2
Gilmore,2
F Mahariel,2
Laresa Mahariel,2
Maric Theirin - Character,2
Martya Brosca,2
Damien Amell,1
Ezekiel Amell,1
OC (Original Character),1
Cyrran Lavellan,1
Caitlyn Trevelyan,1
Ser Perth (Dragon Age),1
Nora (Fallout),1
Nate (Fallout),1
Piper Wright,1
Sakamoto Ryuji,1
Takamaki Ann,1
Emoticlones,1
Persona 5 Protagonist,1
Niijima Sae,1
Kitagawa Yusuke,1
Sarah Weintraub,1
Ruby Rose,1
Togo Hifumi,1
Ben Tennyson,1
Gwen Tennyson,1
Mei-Ling Zhou,1
Duke of Weselton (Disney),1
Pyrrha Nikos,1
9S (NieR: Automata),1
2B (NieR: Automata),1
A2 (NieR: Automata),1
Cait (Fallout),1
Alex (Totally Spies),1
Sam (Totally Spies),1
Clover (Totally Spies),1
Mandy (Totally Spies),1
Amata Almodovar,1
Shantae (Shantae),1
Soul Eater Evans,1
Emily (Overwatch),1
Yaoyorozu Momo,1
Glynda Goodwitch,1
Bakugou Mitsuki,1
Lucio (The Arcana),1
"Illyrian ""Niko"" Duvain",1
Ori Trevelyan,1
Raven Amell,1
Juniper Ocilakoth,1
Wanda Saldivar,1
Yagi Toshinori | All Might,1
Aizawa Shouta | Eraserhead,1
Yamada Hizashi | Present Mic,1
Leonardo da Vinci,1
Altair,1
Yen Sid,1
female human inquisitor,1
Rylee Hawke,1
Hannah Trevelyan,1
Sawada Tsunayoshi,1
Xanxus (Katekyou Hitman Reborn!),1
Kirishima Eijirou,1
Hibari Kyouya,1
Iida Tenya,1
Todoroki Shouto,1
Hotsuin Yamato,1
Protagonist (Devil Survivor 2),1
Superbi Squalo,1
Kanno Fumi,1
Sako Makoto,1
Gokudera Hayato,1
Kujou Hinako,1
Nitta Io,1
Reborn (Katekyou Hitman Reborn!),1
Yamamoto Takeshi,1
Sasagawa Ryouhei,1
Rokudou Mukuro,1
Chrome Dokuro,1
Garyuu Kyouya | Klavier Gavin,1
Odoroki Housuke | Apollo Justice,1
Shijima Daichi,1
Chewbacca (Star Wars),1
R2-D2 (Star Wars),1
BB-8 (Star Wars),1
Rose Tico,1
Valmiro (OC Warden),1
Zeus Drakul,1
Male Lavellan (Dragon Age),1
Irian Amladaris,1
smut - Character,1
sub solas - Character,1
Anasterian Sunstrider,1
Kael'thas Sunstrider,1
Au Ra Character(s),1
Miqo'te Character(s),1
DO - Character,1
Minor Dragon Age Character might cameo,1
Everyone's invited to the party,1
Dark! Solas,1
Rose Tyler | Bad Wolf,1
Jill Stingray,1
Dana Zane,1
Butch DeLoria,1
Koriand'r (DCU),1
Tatsumaki (One-Punch Man),1
Saitama (One-Punch Man),1
John Donovan,1
